state,count
New York,1413
Massachusetts,1060
Florida,888
New Jersey,867
Illinois,693
Pennsylvania,632
Connecticut,477
Maryland,307
Georgia,272
Ohio,254
Virginia,233
New Hampshire,217
North Carolina,213
Texas,199
Maine,162
Rhode Island,159
California,139
Tennessee,126
Indiana,109
Michigan,108
Arizona,107
South Carolina,105
Wisconsin,88
Delaware,68
Alabama,62
Missouri,51
Vermont,49
Colorado,45
Kentucky,44
Nevada,39
Minnesota,35
Iowa,34
West Virginia,28
Kansas,25
Nebraska,22
Oklahoma,20
New Mexico,19
Washington DC,19
Louisiana,16
Mississippi,13
Arkansas,9
Hawaii,6
Utah,1
Wyoming,1
Alaska,0
Idaho,0
Montana,0
North Dakota,0
Oregon,0
South Dakota,0
Washington,0